5988, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 64, 36, 0, 0, 0, 
7238, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 63, 36, 0, 0, 1, 
8488, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 56, 31, 1, 3, 9, 
9738, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 51, 28, 3, 4, 16, 
10988, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 47, 24, 4, 7, 20, 
12237, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 43, 23, 4, 8, 24, 
13488, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 40, 20, 4, 8, 28, 
14738, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 37, 19, 4, 9, 31, 
15988, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 36, 17, 4, 9, 32, 
17238, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 35, 16, 5, 11, 35, 
